epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,397.435,1.6833,1.55584,1.22914,0.73288,0.6409,0.68959,0.36656,1.50989,1.17173,1.21455,0.000475891,0.000475891,0.000475891
2,781.804,1.63663,1.14815,1.20893,0.71635,0.65916,0.70156,0.36774,1.52614,1.09165,1.24224,0.000920801,0.000920801,0.000920801
3,1148.29,1.61493,1.09124,1.20822,0.75812,0.70958,0.74807,0.40354,1.45645,1.06317,1.22155,0.00133427,0.00133427,0.00133427
4,1513.38,1.59465,1.03552,1.19883,0.77639,0.72584,0.76672,0.42202,1.4428,0.96355,1.19264,0.00128753,0.00128753,0.00128753
5,1882.38,1.56129,0.9883,1.186,0.8134,0.7452,0.80585,0.45074,1.4241,0.90207,1.18525,0.00124037,0.00124037,0.00124037
6,2250.67,1.55681,0.96509,1.18051,0.82126,0.75263,0.81243,0.46228,1.38627,0.87756,1.18089,0.00119322,0.00119322,0.00119322
7,2618.19,1.53572,0.93691,1.16944,0.8287,0.77267,0.82506,0.47486,1.37705,0.84728,1.16366,0.00114606,0.00114606,0.00114606
8,2983.46,1.52884,0.92092,1.16419,0.83248,0.79122,0.84256,0.48697,1.36978,0.81475,1.16433,0.0010989,0.0010989,0.0010989
9,3350.26,1.51341,0.89734,1.1605,0.83237,0.78288,0.83359,0.48884,1.35795,0.8179,1.16271,0.00105174,0.00105174,0.00105174
10,3719.74,1.50199,0.88313,1.15553,0.84234,0.79895,0.84185,0.49484,1.35043,0.81958,1.15027,0.00100459,0.00100459,0.00100459
11,4084.64,1.49815,0.86817,1.14924,0.82658,0.80093,0.84038,0.49908,1.34424,0.78377,1.14329,0.00095743,0.00095743,0.00095743
12,4450.06,1.48665,0.85516,1.14555,0.85788,0.80218,0.85466,0.50116,1.34715,0.78326,1.14483,0.000910273,0.000910273,0.000910273
13,4816.29,1.4771,0.84161,1.14034,0.84745,0.79178,0.85005,0.50862,1.32578,0.77291,1.13386,0.000863116,0.000863116,0.000863116
14,5184.06,1.47191,0.83181,1.13798,0.84194,0.81757,0.85785,0.51223,1.31693,0.7627,1.12969,0.000815959,0.000815959,0.000815959
15,5552.51,1.46618,0.82384,1.13681,0.8515,0.80921,0.85591,0.51267,1.32459,0.7579,1.13446,0.000768802,0.000768802,0.000768802
16,5920.11,1.45892,0.81512,1.13298,0.85726,0.81341,0.85846,0.51614,1.31067,0.75822,1.12405,0.000721645,0.000721645,0.000721645
17,6286.37,1.45385,0.80683,1.12915,0.85943,0.81485,0.8644,0.51925,1.30358,0.74911,1.12334,0.000674488,0.000674488,0.000674488
18,6653.67,1.45316,0.80068,1.12934,0.86591,0.82076,0.86923,0.5246,1.29942,0.73746,1.12018,0.000627331,0.000627331,0.000627331
19,7016.46,1.44775,0.79412,1.12554,0.87158,0.81632,0.8688,0.52398,1.30117,0.7316,1.12289,0.000580174,0.000580174,0.000580174
20,7377.65,1.43898,0.78255,1.1226,0.85545,0.81843,0.86619,0.52821,1.28656,0.72644,1.11049,0.000533017,0.000533017,0.000533017
21,7724.57,1.43002,0.71878,1.12882,0.8633,0.81906,0.86803,0.52741,1.28565,0.71523,1.11263,0.00048586,0.00048586,0.00048586
22,8066.81,1.41833,0.70607,1.12326,0.85735,0.82217,0.86983,0.53083,1.28336,0.71379,1.11127,0.000438703,0.000438703,0.000438703
23,8408.82,1.41802,0.69836,1.12357,0.87348,0.82189,0.874,0.535,1.27901,0.7076,1.10831,0.000391546,0.000391546,0.000391546
24,8752.86,1.4059,0.68711,1.11626,0.873,0.82211,0.87613,0.53772,1.27705,0.70132,1.10797,0.000344389,0.000344389,0.000344389
25,9100.7,1.39782,0.67946,1.11218,0.85938,0.82934,0.87322,0.53698,1.27513,0.69986,1.10447,0.000297232,0.000297232,0.000297232
26,9445.96,1.39423,0.672,1.10794,0.86193,0.83074,0.87588,0.53807,1.26787,0.69971,1.10092,0.000250075,0.000250075,0.000250075
27,9793.19,1.38722,0.66782,1.1062,0.87199,0.81509,0.87415,0.53891,1.26528,0.69172,1.09971,0.000202918,0.000202918,0.000202918
28,10139.4,1.38373,0.66043,1.10405,0.86248,0.82577,0.87564,0.53999,1.26539,0.68673,1.09853,0.000155761,0.000155761,0.000155761
29,10484.1,1.37683,0.65423,1.09742,0.87221,0.8199,0.87415,0.53915,1.2625,0.68619,1.0952,0.000108604,0.000108604,0.000108604
30,10828.9,1.36987,0.64948,1.09616,0.86823,0.82274,0.87549,0.53993,1.2625,0.68277,1.09662,6.1447e-05,6.1447e-05,6.1447e-05
